PACK_SIZE,IndiceAfinidad,VentasAbsolutas,ParticipacionPorcentual
270,1.2722691668361683,5303.799999999999,3.172329103561195
380,1.2568486889685873,7175.900000000001,3.2030290626279165
330,1.2244770002419196,12654.0,6.1144085141219815
134,1.1810031881324352,16006.2,11.845067539909946
210,1.1755462753015955,3798.0,2.9471960704052393
110,1.1724311650235921,14630.0,10.494269340974212
135,1.1362337327466643,2247.0,1.4838313548915267
250,1.1266725579983756,2236.0,1.4326647564469914
170,0.9946291415592324,11893.400000000001,8.058739255014327
150,0.9644836683627501,22946.2,15.759312320916905
175,0.9461886202258031,37967.9,25.567949242734343
165,0.9024713521116973,7395.0,5.6385591485878015
190,0.6043123575800107,739.8,0.757265656979124
180,0.5820738590946544,403.0,0.35816618911174786
160,0.5235680337882468,440.79999999999995,0.6549324600900532
90,0.5166598444535407,391.0,0.6549324600900532
70,0.5071782060338601,264.0,0.3223495702005731
125,0.4916601745606275,228.9,0.3018829308227589
200,0.48459420669227654,617.5,0.9158821121571838
220,0.479853850208182,243.79999999999998,0.31723291035611956
