BRAND,IndiceAfinidad,VentasAbsolutas,ParticipacionPorcentual
TYRRELLS,1.23575132811724,4800.6,3.1672124437167417
TWISTIES,1.223095844071101,7539.799999999999,4.604993860008187
DORITOS,1.2105716709996455,20925.9,12.172533769954974
TOSTITOS,1.2057001963852876,7238.000000000001,4.553827261563651
KETTLE,1.1934064188331037,35423.6,19.66844044207941
PRINGLES,1.1810031881324352,16006.2,11.845067539909946
COBS,1.1375996575123832,6144.599999999999,4.420794105607859
INFUZIONS,1.122002789379649,8749.4,6.395824805566925
GRNWVES,1.0585918859786039,4201.0,3.3053622595169876
THINS,1.0500093747957735,7217.099999999999,5.966025378632828
CHEEZELS,0.9448430559245512,3318.3,1.770364306180925
SMITHS,0.785429450158032,14958.9,9.829103561195252
CHEETOS,0.698922317650842,898.8,0.8493655341792878
FRENCH,0.6766701694148985,429.0,0.39909946786737616
RRD,0.6585355877042007,4509.900000000001,4.477077363896848
NATURAL,0.6473766107534472,2130.0,2.0159639787146952
CCS,0.5961459743694701,850.5,1.135898485468686
SUNBITES,0.5166598444535407,391.0,0.6549324600900532
WOOLWORTHS,0.4902968630446452,1605.8,2.450880065493246
BURGER,0.479853850208182,243.79999999999998,0.31723291035611956
